IS, 2004, heart/lung, -, pmp, deceased
IS, 2004, kidney, 3, num, living
IS, 2004, liver, 0, num, living
IS, 2004, pancreas, -, num, living
IS, 2004, heart, -, num, living
IS, 2004, lung, -, num, living
IS, 2004, heart/lung, -, num, living
IS, 2004, kidney, 10.20, pmp, living
IS, 2004, liver, 0, pmp, living
IS, 2004, pancreas, -, pmp, living
IS, 2004, heart, -, pmp, living
IS, 2004, lung, -, pmp, living
IS, 2004, heart/lung, -, pmp, living
IS, 2005, kidney, 0, num, deceased
IS, 2005, liver, 0, num, deceased
IS, 2005, pancreas, 0, num, deceased
IS, 2005, heart, 0, num, deceased
IS, 2005, lung, 0, num, deceased
IS, 2005, heart/lung, -, num, deceased
IS, 2005, kidney, 0, pmp, deceased
IS, 2005, liver, 0, pmp, deceased
IS, 2005, pancreas, 0, pmp, deceased
IS, 2005, heart, 0, pmp, deceased
IS, 2005, lung, 0, pmp, deceased
IS, 2005, heart/lung, -, pmp, deceased
IS, 2005, kidney, 10, num, living
IS, 2005, liver, 0, num, living
IS, 2005, pancreas, -, num, living
IS, 2005, heart, -, num, living
IS, 2005, lung, -, num, living
IS, 2005, heart/lung, -, num, living
IS, 2005, kidney, 34.10, pmp, living
IS, 2005, liver, 0, pmp, living
IS, 2005, pancreas, -, pmp, living
IS, 2005, heart, -, pmp, living
IS, 2005, lung, -, pmp, living
IS, 2005, heart/lung, -, pmp, living
IS, 2006, kidney, 0, num, deceased
IS, 2006, liver, 0, num, deceased
IS, 2006, pancreas, 0, num, deceased
IS, 2006, heart, 0, num, deceased
IS, 2006, lung, 0, num, deceased
IS, 2006, heart/lung, -, num, deceased
IS, 2006, kidney, 0, pmp, deceased
IS, 2006, liver, 0, pmp, deceased
IS, 2006, pancreas, 0, pmp, deceased
IS, 2006, heart, 0, pmp, deceased
IS, 2006, lung, 0, pmp, deceased
IS, 2006, heart/lung, -, pmp, deceased
IS, 2006, kidney, 8, num, living
IS, 2006, liver, 0, num, living
