GE, 1999, kidney, 0.8, pmp, living
GE, 1999, liver, 0, pmp, living
GE, 1999, pancreas, -, pmp, living
GE, 1999, heart, -, pmp, living
GE, 1999, lung, -, pmp, living
GE, 1999, heart/lung, -, pmp, living
GE, 2000, kidney, 0, num, deceased
GE, 2000, liver, 0, num, deceased
GE, 2000, pancreas, 0, num, deceased
GE, 2000, heart, 0, num, deceased
GE, 2000, lung, 0, num, deceased
GE, 2000, heart/lung, -, num, deceased
GE, 2000, kidney, 0, pmp, deceased
GE, 2000, liver, 0, pmp, deceased
GE, 2000, pancreas, 0, pmp, deceased
GE, 2000, heart, 0, pmp, deceased
GE, 2000, lung, 0, pmp, deceased
GE, 2000, heart/lung, -, pmp, deceased
GE, 2000, kidney, 2, num, living
GE, 2000, liver, 0, num, living
GE, 2000, pancreas, -, num, living
GE, 2000, heart, -, num, living
GE, 2000, lung, -, num, living
GE, 2000, heart/lung, -, num, living
GE, 2000, kidney, 0.4, pmp, living
GE, 2000, liver, 0, pmp, living
GE, 2000, pancreas, -, pmp, living
GE, 2000, heart, -, pmp, living
GE, 2000, lung, -, pmp, living
GE, 2000, heart/lung, -, pmp, living
GE, 2017, kidney, 0, num, deceased
GE, 2017, liver, 0, num, deceased
GE, 2017, pancreas, 0, num, deceased
GE, 2017, heart, 0, num, deceased
GE, 2017, lung, 0, num, deceased
GE, 2017, heart/lung, -, num, deceased
GE, 2017, kidney, 0, pmp, deceased
GE, 2017, liver, 0, pmp, deceased
GE, 2017, pancreas, 0, pmp, deceased
GE, 2017, heart, 0, pmp, deceased
GE, 2017, lung, 0, pmp, deceased
GE, 2017, heart/lung, -, pmp, deceased
GE, 2017, kidney, 21, num, living
GE, 2017, liver, 10, num, living
GE, 2017, pancreas, -, num, living
GE, 2017, heart, -, num, living
GE, 2017, lung, -, num, living
GE, 2017, heart/lung, -, num, living
GE, 2017, kidney, 5.70, pmp, living
GE, 2017, liver, 2.70, pmp, living
GE, 2017, pancreas, -, pmp, living
GE, 2017, heart, -, pmp, living
GE, 2017, lung, -, pmp, living
GE, 2017, heart/lung, -, pmp, living
GE, 2002, kidney, 0, num, deceased
GE, 2002, liver, 0, num, deceased
GE, 2002, pancreas, 0, num, deceased
GE, 2002, heart, 0, num, deceased
GE, 2002, lung, 0, num, deceased
GE, 2002, heart/lung, -, num, deceased
GE, 2002, kidney, 0, pmp, deceased
GE, 2002, liver, 0, pmp, deceased
GE, 2002, pancreas, 0, pmp, deceased
GE, 2002, heart, 0, pmp, deceased
GE, 2002, lung, 0, pmp, deceased
GE, 2002, heart/lung, -, pmp, deceased
GE, 2002, kidney, 6, num, living
GE, 2002, liver, 0, num, living
GE, 2002, pancreas, -, num, living
GE, 2002, heart, -, num, living
GE, 2002, lung, -, num, living
GE, 2002, heart/lung, -, num, living
GE, 2002, kidney, 1.20, pmp, living
GE, 2002, liver, 0, pmp, living
GE, 2002, pancreas, -, pmp, living
GE, 2002, heart, -, pmp, living
GE, 2002, lung, -, pmp, living
GE, 2002, heart/lung, -, pmp, living
GE, 2003, kidney, 0, num, deceased
GE, 2003, liver, 0, num, deceased
GE, 2003, pancreas, 0, num, deceased
GE, 2003, heart, 0, num, deceased
GE, 2003, lung, 0, num, deceased
GE, 2003, heart/lung, -, num, deceased
GE, 2003, kidney, 0, pmp, deceased
GE, 2003, liver, 0, pmp, deceased
GE, 2003, pancreas, 0, pmp, deceased
GE, 2003, heart, 0, pmp, deceased
GE, 2003, lung, 0, pmp, deceased
GE, 2003, heart/lung, -, pmp, deceased
GE, 2003, kidney, 7, num, living
GE, 2003, liver, 0, num, living
GE, 2003, pancreas, -, num, living
GE, 2003, heart, -, num, living
GE, 2003, lung, -, num, living
GE, 2003, heart/lung, -, num, living
GE, 2003, kidney, 1.40, pmp, living
GE, 2003, liver, 0, pmp, living
GE, 2003, pancreas, -, pmp, living
GE, 2003, heart, -, pmp, living
GE, 2003, lung, -, pmp, living
GE, 2003, heart/lung, -, pmp, living
GE, 2004, kidney, 0, num, deceased
GE, 2004, liver, 0, num, deceased
GE, 2004, pancreas, 0, num, deceased
GE, 2004, heart, 0, num, deceased
GE, 2004, lung, 0, num, deceased
GE, 2004, heart/lung, -, num, deceased
GE, 2004, kidney, 0, pmp, deceased
GE, 2004, liver, 0, pmp, deceased
GE, 2004, pancreas, 0, pmp, deceased
GE, 2004, heart, 0, pmp, deceased
GE, 2004, lung, 0, pmp, deceased
GE, 2004, heart/lung, -, pmp, deceased
GE, 2004, kidney, 8, num, living
GE, 2004, liver, 0, num, living
GE, 2004, pancreas, -, num, living
GE, 2004, heart, -, num, living
GE, 2004, lung, -, num, living
GE, 2004, heart/lung, -, num, living
GE, 2004, kidney, 1.60, pmp, living
GE, 2004, liver, 0, pmp, living
