US, 1994, utilized, -, pmp, deceased
US, 1994, living, 3102, num, living
US, 1994, living, 12.20, pmp, living
US, 1995, actual, 5359, num, deceased
US, 1995, actual, 21, pmp, deceased
US, 1995, utilized, -, num, deceased
US, 1995, utilized, -, pmp, deceased
US, 1995, living, 3488, num, living
US, 1995, living, 13.60, pmp, living
US, 1996, actual, 5416, num, deceased
US, 1996, actual, 21.20, pmp, deceased
US, 1996, utilized, -, num, deceased
US, 1996, utilized, -, pmp, deceased
US, 1996, living, 3781, num, living
US, 1996, living, 14.80, pmp, living
US, 1997, actual, 5402, num, deceased
US, 1997, actual, 21.20, pmp, deceased
US, 1997, utilized, -, num, deceased
US, 1997, utilized, -, pmp, deceased
US, 1997, living, 4059, num, living
US, 1997, living, 15.90, pmp, living
US, 1998, actual, 5718, num, deceased
US, 1998, actual, 22.40, pmp, deceased
US, 1998, utilized, -, num, deceased
US, 1998, utilized, -, pmp, deceased
US, 1998, living, 4569, num, living
US, 1998, living, 17.90, pmp, living
US, 1999, actual, 5737, num, deceased
US, 1999, actual, 22.5, pmp, deceased
US, 1999, utilized, -, num, deceased
US, 1999, utilized, -, pmp, deceased
US, 1999, living, 5037, num, living
US, 1999, living, 19.80, pmp, living
US, 2000, actual, 5868, num, deceased
US, 2000, actual, 23, pmp, deceased
US, 2000, utilized, -, num, deceased
US, 2000, utilized, -, pmp, deceased
US, 2000, living, 5933, num, living
US, 2000, living, 23.30, pmp, living
US, 2001, actual, 5912, num, deceased
US, 2001, actual, 20.70, pmp, deceased
US, 2001, utilized, -, num, deceased
US, 2001, utilized, -, pmp, deceased
US, 2001, living, 6608, num, living
US, 2001, living, 23.20, pmp, living
US, 2002, actual, 6001, num, deceased
US, 2002, actual, 20.80, pmp, deceased
US, 2002, utilized, -, num, deceased
US, 2002, utilized, -, pmp, deceased
US, 2002, living, 6629, num, living
US, 2002, living, 23, pmp, living
US, 2003, actual, 6189, num, deceased
US, 2003, actual, 21.30, pmp, deceased
US, 2003, utilized, -, num, deceased
US, 2003, utilized, -, pmp, deceased
US, 2003, living, 6828, num, living
US, 2003, living, 23.5, pmp, living
US, 2004, actual, 6759, num, deceased
US, 2004, actual, 23.10, pmp, deceased
US, 2004, utilized, -, num, deceased
US, 2004, utilized, -, pmp, deceased
US, 2004, living, 7004, num, living
US, 2004, living, 23.90, pmp, living
US, 2005, actual, 7032, num, deceased
US, 2005, actual, 23.80, pmp, deceased
US, 2005, utilized, -, num, deceased
US, 2005, utilized, -, pmp, deceased
US, 2005, living, 6898, num, living
