PA, 2017, actual, 4.15, pmp, deceased
PA, 2017, utilized, 16, num, deceased
PA, 2017, utilized, 3.9, pmp, deceased
PA, 2017, living, 15, num, living
PA, 2017, living, 3.66, pmp, living
PA, 1995, actual, 0, num, deceased
PA, 1995, actual, 0, pmp, deceased
PA, 1995, utilized, -, num, deceased
PA, 1995, utilized, -, pmp, deceased
PA, 1995, living, 0, num, living
PA, 1995, living, 0, pmp, living
PA, 1996, actual, 0, num, deceased
PA, 1996, actual, 0, pmp, deceased
PA, 1996, utilized, -, num, deceased
PA, 1996, utilized, -, pmp, deceased
PA, 1996, living, 0, num, living
PA, 1996, living, 0, pmp, living
PA, 1997, actual, 0, num, deceased
PA, 1997, actual, 0, pmp, deceased
PA, 1997, utilized, -, num, deceased
PA, 1997, utilized, -, pmp, deceased
PA, 1997, living, 0, num, living
PA, 1997, living, 0, pmp, living
PA, 1998, actual, 2, num, deceased
PA, 1998, actual, 0.7, pmp, deceased
PA, 1998, utilized, -, num, deceased
PA, 1998, utilized, -, pmp, deceased
PA, 1998, living, 0, num, living
PA, 1998, living, 0, pmp, living
PA, 1999, actual, 1, num, deceased
PA, 1999, actual, 0.3, pmp, deceased
PA, 1999, utilized, -, num, deceased
PA, 1999, utilized, -, pmp, deceased
PA, 1999, living, 0, num, living
PA, 1999, living, 0, pmp, living
PA, 2000, actual, 3, num, deceased
PA, 2000, actual, 1, pmp, deceased
PA, 2000, utilized, -, num, deceased
PA, 2000, utilized, -, pmp, deceased
PA, 2000, living, 0, num, living
PA, 2000, living, 0, pmp, living
PA, 2001, actual, 9, num, deceased
PA, 2001, actual, 3.20, pmp, deceased
PA, 2001, utilized, -, num, deceased
PA, 2001, utilized, -, pmp, deceased
PA, 2001, living, 0, num, living
PA, 2001, living, 0, pmp, living
PA, 2002, actual, 14, num, deceased
PA, 2002, actual, 5, pmp, deceased
PA, 2002, utilized, -, num, deceased
PA, 2002, utilized, -, pmp, deceased
PA, 2002, living, 15, num, living
PA, 2002, living, 5.30, pmp, living
PA, 2003, actual, 15, num, deceased
PA, 2003, actual, 5.30, pmp, deceased
PA, 2003, utilized, -, num, deceased
PA, 2003, utilized, -, pmp, deceased
PA, 2003, living, 4, num, living
PA, 2003, living, 1.40, pmp, living
PA, 2004, actual, 19, num, deceased
PA, 2004, actual, 6.30, pmp, deceased
