KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
KR, 2005, actual, 91, num, deceased
KR, 2005, actual, 1.9, pmp, deceased
KR, 2005, utilized, -, num, deceased
KR, 2005, utilized, -, pmp, deceased
KR, 2005, living, 1272, num, living
KR, 2005, living, 25.80, pmp, living
KR, 2006, actual, 140, num, deceased
KR, 2006, actual, 2.80, pmp, deceased
KR, 2006, utilized, -, num, deceased
KR, 2006, utilized, -, pmp, deceased
KR, 2006, living, 1326, num, living
KR, 2006, living, 26.90, pmp, living
KR, 2007, actual, 144, num, deceased
KR, 2007, actual, 2.97, pmp, deceased
KR, 2007, utilized, -, num, deceased
KR, 2007, utilized, -, pmp, deceased
KR, 2007, living, 1466, num, living
KR, 2007, living, 30.25, pmp, living
KR, 2008, actual, 0, num, deceased
KR, 2008, actual, 0, pmp, deceased
KR, 2008, utilized, -, num, deceased
KR, 2008, utilized, -, pmp, deceased
KR, 2008, living, 0, num, living
KR, 2008, living, 0, pmp, living
KR, 2009, actual, 0, num, deceased
KR, 2009, actual, 0, pmp, deceased
KR, 2009, utilized, -, num, deceased
KR, 2009, utilized, -, pmp, deceased
KR, 2009, living, 0, num, living
KR, 2009, living, 0, pmp, living
KR, 2010, actual, 268, num, deceased
KR, 2010, actual, 5.31, pmp, deceased
KR, 2010, utilized, -, num, deceased
KR, 2010, utilized, -, pmp, deceased
KR, 2010, living, 1782, num, living
KR, 2010, living, 37.12, pmp, living
KR, 2011, actual, 366, num, deceased
KR, 2011, actual, 7.22, pmp, deceased
KR, 2011, utilized, -, num, deceased
KR, 2011, utilized, -, pmp, deceased
KR, 2011, living, 1855, num, living
KR, 2011, living, 37.10, pmp, living
KR, 2012, actual, 409, num, deceased
KR, 2012, actual, 8.35, pmp, deceased
KR, 2012, utilized, -, num, deceased
KR, 2012, utilized, -, pmp, deceased
KR, 2012, living, 1912, num, living
KR, 2012, living, 39.02, pmp, living
KR, 2013, actual, 416, num, deceased
KR, 2013, actual, 8.44, pmp, deceased
KR, 2013, utilized, -, num, deceased
KR, 2013, utilized, -, pmp, deceased
KR, 2013, living, 1800, num, living
KR, 2013, living, 36.54, pmp, living
KR, 2014, actual, 446, num, deceased
KR, 2014, actual, 9.01, pmp, deceased
KR, 2014, utilized, -, num, deceased
KR, 2014, utilized, -, pmp, deceased
KR, 2014, living, 1858, num, living
KR, 2014, living, 37.53, pmp, living
KR, 2015, actual, 501, num, deceased
KR, 2015, actual, 9.96, pmp, deceased
KR, 2015, utilized, -, num, deceased
KR, 2015, utilized, -, pmp, deceased
KR, 2015, living, 1932, num, living
KR, 2015, living, 38.41, pmp, living
KR, 2016, actual, 573, num, deceased
KR, 2016, actual, 11.18, pmp, deceased
KR, 2016, utilized, 573, num, deceased
KR, 2016, utilized, 11.18, pmp, deceased
KR, 2016, living, 2209, num, living
KR, 2016, living, 43.09, pmp, living
KR, 2017, actual, 515, num, deceased
KR, 2017, actual, 9.95, pmp, deceased
KR, 2017, utilized, 515, num, deceased
KR, 2017, utilized, 9.95, pmp, deceased
KR, 2017, living, 2293, num, living
KR, 2017, living, 44.28, pmp, living
KR, 2018, actual, 449, num, deceased
KR, 2018, actual, 8.66, pmp, deceased
KR, 2018, utilized, 449, num, deceased
KR, 2018, utilized, 8.66, pmp, deceased
KR, 2018, living, 2405, num, living
KR, 2018, living, 46.40, pmp, living
LV, 2017, actual, 24, num, deceased
LV, 2017, actual, 12.31, pmp, deceased
LV, 2017, utilized, 20, num, deceased
LV, 2017, utilized, 10.26, pmp, deceased
LV, 2017, living, 13, num, living
LV, 2017, living, 6.67, pmp, living
LV, 2017, actual, 24, num, deceased
LV, 2017, actual, 12.31, pmp, deceased
LV, 2017, utilized, 20, num, deceased
LV, 2017, utilized, 10.26, pmp, deceased
LV, 2017, living, 13, num, living
LV, 2017, living, 6.67, pmp, living
LV, 2017, actual, 24, num, deceased
LV, 2017, actual, 12.31, pmp, deceased
LV, 2017, utilized, 20, num, deceased
LV, 2017, utilized, 10.26, pmp, deceased
LV, 2017, living, 13, num, living
LV, 2017, living, 6.67, pmp, living
LV, 2017, actual, 24, num, deceased
LV, 2017, actual, 12.31, pmp, deceased
LV, 2017, utilized, 20, num, deceased
LV, 2017, utilized, 10.26, pmp, deceased
LV, 2017, living, 13, num, living
LV, 2017, living, 6.67, pmp, living
LV, 2017, actual, 24, num, deceased
LV, 2017, actual, 12.31, pmp, deceased
LV, 2017, utilized, 20, num, deceased
LV, 2017, utilized, 10.26, pmp, deceased
LV, 2017, living, 13, num, living
LV, 2017, living, 6.67, pmp, living
LV, 2017, actual, 24, num, deceased
LV, 2017, actual, 12.31, pmp, deceased
LV, 2017, utilized, 20, num, deceased
LV, 2017, utilized, 10.26, pmp, deceased
