AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2012, actual, 0, num, deceased
AM, 2012, actual, 0, pmp, deceased
AM, 2012, utilized, -, num, deceased
AM, 2012, utilized, -, pmp, deceased
AM, 2012, living, 9, num, living
AM, 2012, living, 3.30, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2015, actual, 0, num, deceased
AM, 2015, actual, 0, pmp, deceased
AM, 2015, utilized, -, num, deceased
AM, 2015, utilized, -, pmp, deceased
AM, 2015, living, 0, num, living
AM, 2015, living, 0, pmp, living
AM, 2016, actual, 0, num, deceased
AM, 2016, actual, 0, pmp, deceased
AM, 2016, utilized, -, num, deceased
AM, 2016, utilized, -, pmp, deceased
AM, 2016, living, 7, num, living
AM, 2016, living, 2.33, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AM, 2017, actual, 0, num, deceased
AM, 2017, actual, 0, pmp, deceased
AM, 2017, utilized, -, num, deceased
AM, 2017, utilized, -, pmp, deceased
AM, 2017, living, 11, num, living
AM, 2017, living, 3.79, pmp, living
AU, 1993, actual, 0, num, deceased
AU, 1993, actual, 0, pmp, deceased
AU, 1993, utilized, -, num, deceased
AU, 1993, utilized, -, pmp, deceased
AU, 1993, living, 0, num, living
AU, 1993, living, 0, pmp, living
AU, 1994, actual, 0, num, deceased
AU, 1994, actual, 0, pmp, deceased
AU, 1994, utilized, -, num, deceased
AU, 1994, utilized, -, pmp, deceased
AU, 1994, living, 0, num, living
AU, 1994, living, 0, pmp, living
AU, 1995, actual, 184, num, deceased
AU, 1995, actual, 10.20, pmp, deceased
AU, 1995, utilized, -, num, deceased
